stationID,nameTH,nameEN,district,areaTH,areaEN,stationType,lat,long,forecast,LastUpdate,date,time,PM25.value,PM25.unit,PM10.value,PM10.unit,O3.value,O3.unit,CO.value,CO.unit,NO2.value,NO2.unit,SO2.value,SO2.unit,AQI.Level,AQI.aqi
02t,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,Bansomdejchaopraya Rajabhat University,Thon Buri,"แขวงหิรัญรูจี เขตธนบุรี, กรุงเทพฯ","Hiran Ruchi, Khet Thon Buri, Bangkok",GROUND,13.732846,100.487662,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '11', 'unit': 'µg/m³'}, 'PM10': {'value': '21', 'unit': 'µg/m³'}, 'O3': {'value': '10', 'unit': 'ppb'}, 'CO': {'value': '-', 'unit': 'ppm'}, 'NO2': {'value': '-', 'unit': 'ppb'}, 'SO2': {'value': '-', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '11'}}",2021-08-26,14:00,11,µg/m³,21,µg/m³,10,ppb,-,ppm,-,ppb,-,ppb,1,11
03t,ริมถนนทางหลวงหมายเลข 3902,Highway NO.3902 km.13 +600,Bang Khun Thian,"ริมถนนกาญจนาภิเษก เขตบางขุนเทียน, กรุงเทพฯ","Kanchanaphisek Rd, Bang Khun Thian, Bangkok",GROUND,13.636514,100.414262,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '19', 'unit': 'µg/m³'}, 'PM10': {'value': '47', 'unit': 'µg/m³'}, 'O3': {'value': '2', 'unit': 'ppb'}, 'CO': {'value': '-', 'unit': 'ppm'}, 'NO2': {'value': '-', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '24'}}",2021-08-26,14:00,19,µg/m³,47,µg/m³,2,ppb,-,ppm,-,ppb,N/A,ppb,1,24
05t,กรมอุตุนิยมวิทยาบางนา,Thai Meteorological Department,Bang Na,"แขวงบางนา เขตบางนา, กรุงเทพฯ","Bang Na, Khet Bang Na, Bangkok",GROUND,13.666183,100.605742,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '7', 'unit': 'µg/m³'}, 'PM10': {'value': '16', 'unit': 'µg/m³'}, 'O3': {'value': '11', 'unit': 'ppb'}, 'CO': {'value': '-', 'unit': 'ppm'}, 'NO2': {'value': '-', 'unit': 'ppb'}, 'SO2': {'value': '-', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '8'}}",2021-08-26,14:00,7,µg/m³,16,µg/m³,11,ppb,-,ppm,-,ppb,-,ppb,1,8
10t,เคหะชุมชนคลองจั่น,National Housing Authority Klongchan,Bang Kapi,"แขวงคลองจั่น เขตบางกะปิ, กรุงเทพฯ","Khlong Chan, Khet Bang Kapi, Bangkok",GROUND,13.779873,100.646009,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '-', 'unit': 'µg/m³'}, 'PM10': {'value': '-', 'unit': 'µg/m³'}, 'O3': {'value': '8', 'unit': 'ppb'}, 'CO': {'value': 'N/A', 'unit': 'ppm'}, 'NO2': {'value': '-', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '6'}}",2021-08-26,14:00,-,µg/m³,-,µg/m³,8,ppb,N/A,ppm,-,ppb,N/A,ppb,1,6
11t,การเคหะชุมชนห้วยขวาง,National Housing  Huaykwang,Din Daeng,"แขวงดินแดง เขตดินแดง, กรุงเทพฯ","Din Daeng, Khet Din Daeng, Bangkok",GROUND,13.77553,100.569195,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '8', 'unit': 'µg/m³'}, 'PM10': {'value': '17', 'unit': 'µg/m³'}, 'O3': {'value': '6', 'unit': 'ppb'}, 'CO': {'value': '-', 'unit': 'ppm'}, 'NO2': {'value': '-', 'unit': 'ppb'}, 'SO2': {'value': '-', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '9'}}",2021-08-26,14:00,8,µg/m³,17,µg/m³,6,ppb,-,ppm,-,ppb,-,ppb,1,9
12t,โรงเรียนนนทรีวิทยา,Nonsi Witthaya School,Yannawa,"แขวงช่องนนทรี เขตยานนาวา, กรุงเทพฯ","Chong Nonsi, Khet Yannawa, Bangkok",GROUND,13.708067,100.547333,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '7', 'unit': 'µg/m³'}, 'PM10': {'value': '22', 'unit': 'µg/m³'}, 'O3': {'value': '5', 'unit': 'ppb'}, 'CO': {'value': '-', 'unit': 'ppm'}, 'NO2': {'value': '14', 'unit': 'ppb'}, 'SO2': {'value': '-', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '11'}}",2021-08-26,14:00,7,µg/m³,22,µg/m³,5,ppb,-,ppm,14,ppb,-,ppb,1,11
50t,โรงพยาบาลจุฬาลงกรณ์,Chulalongkorn Hospital,Pathum Wan,"ริมถนนพระราม 4 เขตปทุมวัน, กรุงเทพฯ","Rama IV Rd. Khet Pathum Wan, Bangkok",GROUND,13.729852,100.536501,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '12', 'unit': 'µg/m³'}, 'PM10': {'value': '26', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': '-', 'unit': 'ppm'}, 'NO2': {'value': '-', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '13'}}",2021-08-26,14:00,12,µg/m³,26,µg/m³,N/A,ppb,-,ppm,-,ppb,N/A,ppb,1,13
52t,การไฟฟ้าย่อยธนบุรี,Thonburi Power Sub-Station,Thon Buri,"ริมถนนอินทรพิทักษ์ เขตธนบุรี, กรุงเทพฯ","Intarapitak Rd. Khet Thon Buri, Bangkok",GROUND,13.727622,100.486568,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '12', 'unit': 'µg/m³'}, 'PM10': {'value': '23', 'unit': 'µg/m³'}, 'O3': {'value': '7', 'unit': 'ppb'}, 'CO': {'value': '0.45', 'unit': 'ppm'}, 'NO2': {'value': '1', 'unit': 'ppb'}, 'SO2': {'value': '3', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '12'}}",2021-08-26,14:00,12,µg/m³,23,µg/m³,7,ppb,0.45,ppm,1,ppb,3,ppb,1,12
53t,สถานีตำรวจนครบาลโชคชัย,Chokchai Police Station,Wang Thonglang,"ริมถนนลาดพร้าว เขตวังทองหลาง, กรุงเทพฯ","Lat Phrao Rd. Khet Wang Thonglang, Bangkok",GROUND,13.795425,100.593023,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '10', 'unit': 'µg/m³'}, 'PM10': {'value': '22', 'unit': 'µg/m³'}, 'O3': {'value': 'N/A', 'unit': 'ppb'}, 'CO': {'value': '-', 'unit': 'ppm'}, 'NO2': {'value': '11', 'unit': 'ppb'}, 'SO2': {'value': 'N/A', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '11'}}",2021-08-26,14:00,10,µg/m³,22,µg/m³,N/A,ppb,-,ppm,11,ppb,N/A,ppb,1,11
54t,การเคหะชุมชนดินแดง,National Housing Authority Dindaeng,Din Daeng,"ริมถนนดินแดง เขตดินแดง, กรุงเทพฯ","Din Daeng Rd. Khet Din Daeng, Bangkok",GROUND,13.762517,100.5502,[],"{'date': '2021-08-26', 'time': '14:00', 'PM25': {'value': '20', 'unit': 'µg/m³'}, 'PM10': {'value': '41', 'unit': 'µg/m³'}, 'O3': {'value': '9', 'unit': 'ppb'}, 'CO': {'value': '0.87', 'unit': 'ppm'}, 'NO2': {'value': '15', 'unit': 'ppb'}, 'SO2': {'value': '-', 'unit': 'ppb'}, 'AQI': {'Level': '1', 'aqi': '21'}}",2021-08-26,14:00,20,µg/m³,41,µg/m³,9,ppb,0.87,ppm,15,ppb,-,ppb,1,21
