PM2.5(t-7),temperature(t-7),dewpoint(t-7),humidity(t-7),wind_speed(t-7),pressure(t-7),PM10(t-7),PM2.5(t)
0.223684211,0.866860761,0.767398739,0.342021743,0.52099619,0.442609858,0.520547945,0.092105263
0.184210526,0.875965729,0.826118746,0.428699044,0.589574803,0.387092371,0.493150685,0.026315789
0.144736842,0.931143354,0.86769896,0.422743171,0.703321527,0.200847528,0.424657534,0.039473684
0.065789474,0.836148475,0.842492603,0.480557162,0.615562819,0.174276375,0.219178082,0.052631579
0.105263158,0.814024964,0.878899898,0.56929057,0.49331884,0.273027309,0.301369863,0.052631579
0.157894737,0.726278855,0.894650984,0.693569567,0.348540306,0.320802287,0.356164384,0.065789474
0.092105263,0.746690052,0.890414972,0.661830938,0.449991669,0.302879915,0.342465753,0.026315789
0.092105263,0.71252398,0.884612219,0.685161586,0.42394869,0.315993819,0.301369863,0.105263158
0.026315789,0.799543897,0.829838641,0.495324043,0.662172979,0.260119448,0.178082192,0.065789474
0.039473684,0.740855298,0.833271879,0.56414377,0.601671677,0.20253869,0.178082192,0.078947368
0.052631579,0.808750614,0.825937545,0.47550318,0.61564265,0.226998171,0.191780822,0.092105263
0.052631579,0.824599731,0.812103077,0.441100174,0.661934529,0.282228964,0.205479452,0.065789474
0.065789474,0.829562276,0.851607715,0.494945386,0.54229504,0.282255867,0.232876712,0.078947368
0.026315789,0.766916772,0.859431871,0.596025419,0.408211258,0.304821338,0.136986301,0.065789474
0.105263158,0.720744564,0.912523779,0.721541563,0.304675193,0.300333148,0.246575342,0.052631579
0.065789474,0.682517986,0.899261945,0.738089667,0.350138877,0.289531265,0.205479452,0
0.078947368,0.684709324,0.885267682,0.714156208,0.306452745,0.317995672,0.287671233,0.065789474
0.092105263,0.775744925,0.870416763,0.581246229,0.374611594,0.280726761,0.287671233,0.026315789
0.065789474,0.702537733,0.849620406,0.634080582,0.475485661,0.282561677,0.287671233,0.092105263
0.078947368,0.652159497,0.872831029,0.73547207,0.355194469,0.344639863,0.328767123,0.118421053
0.065789474,0.703870241,0.895409608,0.713657957,0.475530995,0.376266491,0.273972603,0.118421053
0.052631579,0.730266851,0.847679181,0.607176838,0.445702563,0.350698821,0.150684932,0.078947368
0,0.668834371,0.861728994,0.694300798,0.372511482,0.36964571,0.287671233,0.092105263
0.065789474,0.69246485,0.886786872,0.710089662,0.321012357,0.402081458,0.123287671,0.131578947
0.026315789,0.811839976,0.901648066,0.598901356,0.37191319,0.422731886,0.287671233,0.092105263
0.092105263,0.701385651,0.890038974,0.70661899,0.263681314,0.389785913,0.301369863,0.078947368
0.118421053,0.745392471,0.873808939,0.621165703,0.394915612,0.312200804,0.260273973,0.078947368
0.118421053,0.600540392,0.870288696,0.784912008,0.298311661,0.366497434,0.287671233,0.078947368
0.078947368,0.688890759,0.884358881,0.712223837,0.441189587,0.346171991,0.273972603,0.105263158
0.092105263,0.73230598,0.856051459,0.602710759,0.43184975,0.302236861,0.301369863,0.105263158
0.131578947,0.76332066,0.813663321,0.508197829,0.582173352,0.265329483,0.232876712,0.039473684
0.092105263,0.76983195,0.825440286,0.516468797,0.784705366,0.157467248,0.246575342,0.092105263
0.078947368,0.699550873,0.854750285,0.63839719,0.666006801,0.161583853,0.273972603,0.092105263
0.078947368,0.745951894,0.882919276,0.633575535,0.464968331,0.360149343,0.178082192,0.065789474
0.078947368,0.642618247,0.892620837,0.77380564,0.401532345,0.388690507,0.232876712,0.052631579
