titles,years,descriptions,genres
Gladiator,2000,    A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Action, Adventure, Drama            "
Memento,2000,    A man with short-term memory loss attempts to track down his wife's murderer.,"Mystery, Thriller            "
Snatch,2000,"    Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Comedy, Crime            "
Requiem for a Dream,2000,    The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Drama            
X-Men,2000,"    In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.","Action, Adventure, Sci-Fi            "
Cast Away,2000,    A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,"Adventure, Drama, Romance            "
American Psycho,2000,"    A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","Comedy, Crime, Drama            "
Unbreakable,2000,    A man learns something extraordinary about himself after a devastating accident.,"Drama, Mystery, Sci-Fi            "
Mission: Impossible II,2000,"    IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".","Action, Adventure, Thriller            "
Meet the Parents,2000,"    Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.","Comedy, Romance            "
"O Brother, Where Art Thou?",2000,"    In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.","Adventure, Comedy, Crime            "
Gone in 60 Seconds,2000,    A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.,"Action, Crime, Thriller            "
The Patriot,2000,    Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,"Action, Drama, History            "
"Crouching Tiger, Hidden Dragon",2000,    A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,"Action, Adventure, Fantasy            "
Almost Famous,2000,    A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,"Adventure, Comedy, Drama            "
Scary Movie,2000,"    A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",Comedy            
Final Destination,2000,"    After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.","Horror, Thriller            "
Pitch Black,2000,"    A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.","Action, Horror, Sci-Fi            "
The Beach,2000,"    Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it.","Adventure, Drama, Romance            "
Amores Perros,2000,"    A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Drama, Thriller            "
"Me, Myself & Irene",2000,    A nice-guy cop with Dissociative Identity Disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.,"Adventure, Comedy, Crime            "
How the Grinch Stole Christmas,2000,"    On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.","Comedy, Family, Fantasy            "
Remember the Titans,2000,    The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,"Biography, Drama, Sport            "
Traffic,2000,"    A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.","Crime, Drama, Thriller            "
What Women Want,2000,"    After an accident, a chauvinistic executive gains the ability to hear what women are really thinking.","Comedy, Fantasy, Romance            "
Miss Congeniality,2000,    An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.,"Action, Comedy, Crime            "
Chocolat,2000,    A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.,"Drama, Romance            "
The Emperor's New Groove,2000,"    Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.","Animation, Adventure, Comedy            "
Chicken Run,2000,"    When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.","Animation, Adventure, Comedy            "
Charlie's Angels,2000,"    Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.","Action, Adventure, Comedy            "
Erin Brockovich,2000,    An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.,"Biography, Drama            "
Battle Royale,2000,"    In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.","Action, Adventure, Drama            "
High Fidelity,2000,"    Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.","Comedy, Drama, Music            "
Road Trip,2000,    Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.,Comedy            
The Perfect Storm,2000,    An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,"Action, Adventure, Drama            "
"Dude, Where's My Car?",2000,    Two potheads wake up after a night of partying and cannot remember where they parked their car.,"Comedy, Mystery, Sci-Fi            "
Billy Elliot,2000,    A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,"Drama, Music            "
Hollow Man,2000,"    When the leader of a team of scientists volunteers to be the test subject for their experiment in human invisibility, he slowly unravels and turns against them, with horrific consequences.","Action, Horror, Sci-Fi            "
Scream 3,2000,"    While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.","Horror, Mystery            "
In the Mood for Love,2000,"    Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Drama, Romance            "
Shanghai Noon,2000,"    A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss.","Action, Adventure, Comedy            "
What Lies Beneath,2000,    The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,"Drama, Fantasy, Horror            "
The 6th Day,2000,    Futuristic action film about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.,"Action, Mystery, Sci-Fi            "
Malcolm in the Middle,2000,"    A gifted young teen tries to survive life with his dimwitted, dysfunctional family.","Comedy, Family            "
Pay It Forward,2000,    A young boy attempts to make the world a better place after his teacher gives him that chance.,Drama            
