date,pressure,wind_speed,humidity,temperature,PM10,PM2.5
2017-11-01,101013.3203,2.70005175,67.4453125,27.34453125,57.0,43.0
2017-11-02,100784.9225,2.324088186,63.47286822,28.94186047,55.0,43.0
2017-11-03,100780.4428,2.484123749,57.51660517,29.24428044,65.0,40.0
2017-11-04,100807.7431,2.6962099999999998,50.97222222,28.57673611,54.0,51.0
2017-11-05,100865.8363,4.0239963560000005,60.67615658,25.74733096,64.0,33.0
2017-11-06,100873.375,2.3174832999999997,71.18125,25.285,54.0,48.0
2017-11-07,100823.0153,2.308739786,70.57251908,27.47328244,51.0,38.0
2017-11-08,100883.4959,1.190834602,71.07317073,27.5995935,47.0,36.0
2017-11-09,100793.1174,1.656762818,70.08502024,28.81295547,47.0,29.0
2017-11-10,100775.1406,1.7752335419999998,72.14056225,29.58433735,37.0,28.0
2017-11-11,100832.56,1.69159936,80.892,27.3648,41.0,21.0
2017-11-12,100694.4,1.624185728,74.972,28.798000000000002,51.0,26.0
2017-11-13,100654.8661,1.601560714,81.80803571,28.16294643,56.0,33.0
2017-11-14,100701.3953,1.2013940090000002,79.13023256,28.99255814,61.0,39.0
2017-11-15,100806.1923,1.4537396919999999,74.74615385,29.46230769,43.0,38.0
2017-11-16,100853.3333,1.693536533,82.075,28.42875,60.0,24.0
2017-11-17,100777.25099999999,0.966568159,79.89641434,29.47011952,68.0,32.0
2017-11-18,100656.0569,0.744339772,75.68699187,30.67113821,57.0,45.0
2017-11-19,100672.4312,1.515219523,80.44036697,29.52706422,40.0,37.0
2017-11-20,100783.3831,1.122048159,86.71641791,26.77363184,33.0,23.0
2017-11-21,100752.9187,2.5725119999999997,81.47368421,28.07129187,46.0,19.0
2017-11-22,100769.6296,1.5390948569999998,77.71957672,28.86878307,29.0,27.0
2017-11-23,100809.0286,2.726944,71.04,29.04457143,36.0,17.0
2017-11-24,101011.93400000001,2.532523774,66.95283019,28.35377358,54.0,20.0
2017-11-25,101135.16,2.1588455680000003,63.852,27.5268,53.0,29.0
2017-11-26,101107.6305,2.214553574,62.71485944,28.04618474,53.0,31.0
2017-11-27,100935.8871,2.231955355,65.14516129,27.80685484,57.0,28.0
2017-11-28,100895.2564,2.558826393,70.20085470000001,27.71196581,48.0,33.0
2017-11-29,100882.6131,2.295853668,67.13567839,29.27487437,51.0,27.0
2017-11-30,100803.9063,1.5809383330000002,69.11458333,29.25625,49.0,30.0
2017-12-01,100831.2195,1.802988644,65.93170732,29.21560976,53.0,30.0
2017-12-02,100898.7831,1.39646781,64.88888889,28.96719577,43.0,31.0
2017-12-03,100858.7255,1.2694621179999999,64.15196078,29.32647059,47.0,26.0
2017-12-04,100805.9761,2.1913865180000003,63.505976100000005,29.83227092,33.0,27.0
2017-12-05,100905.082,2.4343526559999997,66.67213115,27.7,49.0,20.0
2017-12-06,100909.6787,2.046330088,65.66666667,28.38232932,54.0,33.0
2017-12-07,100936.5417,2.075010667,63.60416667,29.39291667,53.0,35.0
2017-12-08,101045.4592,1.965835592,64.45408163,30.05816327,39.0,38.0
2017-12-09,101143.5556,2.9144524439999997,61.63333333,27.86055556,61.0,25.0
2017-12-10,101146.4,1.38984736,61.43,28.4555,79.0,50.0
2017-12-11,101039.2453,0.7973619120000001,68.50314465,28.62389937,50.0,69.0
2017-12-12,100966.5,0.8588756,78.2875,28.645625,49.0,38.0
2017-12-13,100901.194,1.642482786,80.89054726,28.92636816,50.0,32.0
2017-12-14,100905.7198,1.145953121,82.58754864,28.42529183,60.0,34.0
2017-12-15,100941.0547,0.71281925,77.50390625,29.29375,52.0,42.0
2017-12-16,101116.6171,2.041261086,64.81412639,29.40557621,30.0,38.0
2017-12-17,101413.6559,3.563341419,58.89964158,26.17777778,49.0,15.0
2017-12-18,101550.8961,2.563670251,54.24014337,23.31397849,60.0,33.0
2017-12-19,101656.1069,2.196979786,48.5,21.37900763,68.0,42.0
2017-12-20,101745.2416,1.9154583790000002,44.50185874,21.293680300000002,70.0,51.0
2017-12-21,101581.3158,2.12360806,46.43984962,21.97255639,70.0,53.0
2017-12-22,101235.8427,2.670017558,55.40074906,23.70187266,73.0,58.0
2017-12-23,100902.0818,1.364718394,54.72862454,27.36988848,70.0,62.0
2017-12-24,100872.2337,1.20009501,59.70103093,28.59209622,48.0,59.0
2017-12-25,100987.7027,1.6505743780000002,57.73986486,26.25472973,67.0,30.0
2017-12-26,101106.4883,1.56284586,70.18060201,23.08963211,47.0,60.0
2017-12-27,101130.73800000001,1.742466244,94.30996309999999,19.91623616,44.0,45.0
2017-12-28,101140.0,2.5627156209999997,86.42105263,23.2477193,39.0,29.0
2017-12-29,101175.68699999999,3.237627481,81.65648855,25.02671756,36.0,24.0
2017-12-30,101073.2143,1.474941714,72.01623377,27.85519481,34.0,24.0
2017-12-31,101055.1316,2.479013263,66.48355263,27.42960526,34.0,23.0
2018-01-01,101000.7973,1.678404997,66.15946844,26.66644518,40.0,27.0
2018-01-02,100861.115,1.690185031,64.2195122,27.23484321,54.0,30.0
2018-01-03,100829.0323,1.026269247,66.12186379999999,27.70645161,59.0,40.0
2018-01-04,100776.8864,1.065035956,63.22344322,29.02380952,69.0,45.0
2018-01-05,100658.3539,0.801360593,61.11934156,30.05432099,60.0,51.0
2018-01-06,100654.4,0.763901952,67.908,29.2076,27.0,48.0
2018-01-07,100818.90199999999,1.8207676240000001,79.34117647,28.18392157,28.0,19.0
2018-01-08,100888.209,0.83903403,82.42537313,27.6358209,36.0,16.0
2018-01-09,100968.7185,1.2733990659999999,73.72997712,29.90663616,28.0,22.0
2018-01-10,101025.3571,1.022604,84.92857143,27.21428571,56.0,17.0
2018-01-11,101306.42199999999,1.480358606,73.42660550000001,24.58256881,56.0,35.0
2018-01-12,101394.4589,1.323896381,63.62337662,23.61341991,61.0,37.0
2018-01-13,101386.82800000001,1.01232929,63.5,22.38709677,60.0,44.0
2018-01-14,101242.7358,0.853593358,63.53773585,24.14245283,71.0,45.0
2018-01-15,101025.3488,0.28277879100000003,64.7255814,25.34651163,78.0,55.0
2018-01-16,100864.0,0.19295494,63.06976744,27.18651163,92.0,67.0
2018-01-17,100780.8095,0.275887543,64.01428571,28.50904762,71.0,87.0
2018-01-18,100781.992,0.456123283,59.85657371,29.30119522,70.0,59.0
2018-01-19,100845.08,0.575072256,56.74,29.7804,73.0,59.0
2018-01-20,100781.52,0.612981248,57.623999999999995,29.4608,81.0,51.0
2018-01-21,100701.7004,0.185331563,61.94736842,29.55222672,75.0,72.0
2018-01-22,100648.125,0.5178878570000001,68.60267857,29.646875,71.0,77.0
2018-01-23,100633.4052,0.6304805520000001,73.59051724,29.43448276,69.0,61.0
2018-01-24,100573.4545,0.7496048000000001,81.35909091,27.93318182,48.0,61.0
2018-01-25,100585.1464,0.826930477,80.84518828,28.35648536,33.0,34.0
2018-01-26,100618.8353,0.922087325,79.22489959999999,28.70401606,32.0,22.0
2018-01-27,100715.2191,1.097118088,78.64940239,28.49760956,33.0,19.0
2018-01-28,100726.3745,0.975651442,77.68924303,28.71713147,33.0,19.0
2018-01-29,100809.6787,1.1443505859999998,80.82730924,28.95421687,32.0,20.0
2018-01-30,100807.1888,1.4996486430000002,82.18875502,28.68955823,32.0,21.0
2018-01-31,100930.5221,1.971823422,86.72289157,27.31044177,46.0,21.0
2018-02-01,101014.0239,3.206933163,77.35059761,27.562549800000003,59.0,35.0
2018-02-02,101105.64,1.8396590080000002,69.96,26.6088,64.0,51.0
2018-02-03,101276.0558,1.6837912990000001,65.80079681,25.25856574,65.0,52.0
2018-02-04,101290.9881,0.914753391,59.83794466,25.36561265,66.0,59.0
2018-02-05,101424.56,1.023542784,58.092,25.7124,58.0,62.0
2018-02-06,101323.7643,1.7898597719999998,55.77946768,24.97452471,81.0,51.0
2018-02-07,101142.8195,1.3332211729999999,60.240601500000004,25.70150376,75.0,86.0
2018-02-08,101029.004,1.45385957,74.94023904,26.68446215,58.0,76.0
2018-02-09,100967.2908,1.7384691000000003,76.10358566,27.23904382,56.0,48.0
2018-02-10,101066.0236,1.160544,74.36220472,28.05511811,58.0,43.0
2018-02-11,101125.754,0.5538328889999999,80.47222222,27.60357143,67.0,44.0
2018-02-12,101332.2311,2.51785039,66.21115538,28.65298805,61.0,55.0
